# DANH SACH THUOC TIM THAY BANG NHIEU PHUONG PHAP
# Tong so: 172

Metformin/Pioglitazone | drugs\drug_modules\diabetes\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Metformin/Sitagliptin | drugs\drug_modules\diabetes\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Metronidazole (vaginal gel) | drugs\drug_modules\obstetrics_gynecology.py | Methods: method1, method2, method3, method4, method5
Metronidazole topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Miconazole (vaginal) | drugs\drug_modules\obstetrics_gynecology.py | Methods: method1, method2, method3, method4, method5
Miconazole topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Miconazole/Hydrocortisone topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Midazolam (IV/ICU) | drugs\drug_modules\supportive\sedatives_anesthetics_icu.py | Methods: method1, method2, method3, method4, method5
Mometasone topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Moxifloxacin eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Mupirocin topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Nepafenac eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Olanzapine/Fluoxetine | drugs\drug_modules\neurological\neurological_combinations.py | Methods: method1, method2, method3, method4, method5
Olopatadine eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Omega-3 acid ethyl esters | drugs\drug_modules\cardiovascular\triglyceride_lowering.py | Methods: method1, method2, method3, method4, method5
PAS (para-aminosalicylic acid) | drugs\drug_modules\infectious_other\antituberculars.py | Methods: method1, method2, method3, method4, method5
Paracetamol/Carisoprodol | drugs\drug_modules\analgesics\pain_muscle_relaxant_combinations.py | Methods: method1, method2, method3, method4, method5
Paracetamol/Chlorzoxazone | drugs\drug_modules\analgesics\pain_muscle_relaxant_combinations.py | Methods: method1, method2, method3, method4, method5
Paracetamol/Methocarbamol | drugs\drug_modules\analgesics\pain_muscle_relaxant_combinations.py | Methods: method1, method2, method3, method4, method5
Paracetamol/Orphenadrine | drugs\drug_modules\analgesics\pain_muscle_relaxant_combinations.py | Methods: method1, method2, method3, method4, method5
Penicillin G | drugs\drug_modules\antimicrobial\antibiotics\beta_lactams.py | Methods: method2, method3, method4
Penicillin V | drugs\drug_modules\infectious_other\beta_lactams.py | Methods: method1, method2, method3, method4
Permethrin topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Phenylephrine eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Pilocarpine eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Piperacillin-tazobactam | drugs\drug_modules\antimicrobial\antibiotics\beta_lactams.py | Methods: method2, method3, method4
Piracetam/Vinpocetine | drugs\drug_modules\neurological\neurological_combinations.py | Methods: method1, method2, method3, method4, method5
Polyethylene glycol 3350 | drugs\drug_modules\gastrointestinal\laxatives.py | Methods: method1, method2, method3, method4, method5
Polymyxin B | drugs\drug_modules\antimicrobial\antibiotics\polymyxins.py | Methods: method2, method3, method4
Polymyxin B/Trimethoprim eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Potassium phosphate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Prednisolone eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Rilpivirine (RPV) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Ritonavir (low-dose booster) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Sacituzumab govitecan | drugs\drug_modules\oncology\monoclonal_antibodies_adcs.py | Methods: method1, method2, method3, method4
Sacubitril-valsartan | drugs\drug_modules\cardiovascular\other_cv.py | Methods: method1, method2, method3, method4
Salicylic Acid | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Senna (sennosides) | drugs\drug_modules\gastrointestinal\laxatives.py | Methods: method1, method2, method3, method4, method5
Sodium bicarbonate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Sodium phosphate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Sodium polystyrene sulfonate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Sofosbuvir/Velpatasvir | drugs\drug_modules\antimicrobial\antivirals\hepatitis.py | Methods: method2, method3, method4, method5
Tacrolimus topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4
Tenofovir alafenamide (TAF) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Tenofovir alafenamide/Emtricitabine (TAF/FTC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Tenofovir disoproxil fumarate (TDF) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Tenofovir disoproxil fumarate/Emtricitabine (TDF/FTC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
